Country,Daylight,Rank,Score,GDP/capita,Health,Freedom,Corruption,Generosity,Year,Social support,Region code,Region,Country code,Gender,Suicide rate,Low suicide rate,High suicide rate,Value,Mean suicide rate,Median suicide rate,Std suicide rate
Switzerland,1932.75,1,7.587,1.39651,0.94143,0.66557,0.41978,0.29678,2015,,EUR,Europe,CHE,Male,15.17,13.12,17.35,15.17 [13.12 – 17.35],10.26013351134849,7.48,11.194969511733015
Switzerland,1932.75,1,7.587,1.39651,0.94143,0.66557,0.41978,0.29678,2015,,EUR,Europe,CHE,Both sexes,10.5,8.96,12.15,10.5 [8.96 – 12.15],10.26013351134849,7.48,11.194969511733015
Switzerland,1932.75,1,7.587,1.39651,0.94143,0.66557,0.41978,0.29678,2015,,EUR,Europe,CHE,Female,6.03,4.98,7.17,6.03 [4.98 – 7.17],10.26013351134849,7.48,11.194969511733015
Iceland,1326.0,2,7.561,1.30232,0.94784,0.62877,0.14145,0.4363,2015,,EUR,Europe,ISL,Male,21.03,17.01,25.51,21.03 [17.01 – 25.51],10.26013351134849,7.48,11.194969511733015
Iceland,1326.0,2,7.561,1.30232,0.94784,0.62877,0.14145,0.4363,2015,,EUR,Europe,ISL,Both sexes,13.17,10.52,16.17,13.17 [10.52 – 16.17],10.26013351134849,7.48,11.194969511733015
Iceland,1326.0,2,7.561,1.30232,0.94784,0.62877,0.14145,0.4363,2015,,EUR,Europe,ISL,Female,5.15,3.91,6.63,5.15 [3.91 – 6.63],10.26013351134849,7.48,11.194969511733015
Denmark,1932.0,3,7.527,1.32548,0.87464,0.64938,0.48357,0.34139,2015,,EUR,Europe,DNK,Male,11.26,9.44,13.28,11.26 [9.44 – 13.28],10.26013351134849,7.48,11.194969511733015
Denmark,1932.0,3,7.527,1.32548,0.87464,0.64938,0.48357,0.34139,2015,,EUR,Europe,DNK,Both sexes,8.07,6.66,9.66,8.07 [6.66 – 9.66],10.26013351134849,7.48,11.194969511733015
Denmark,1932.0,3,7.527,1.32548,0.87464,0.64938,0.48357,0.34139,2015,,EUR,Europe,DNK,Female,4.93,3.92,6.1,4.93 [3.92 – 6.1],10.26013351134849,7.48,11.194969511733015
Norway,1373.33,4,7.522,1.459,0.88521,0.66973,0.36503,0.34699,2015,,EUR,Europe,NOR,Both sexes,10.59,9.78,11.47,10.59 [9.78 – 11.47],10.26013351134849,7.48,11.194969511733015
Norway,1373.33,4,7.522,1.459,0.88521,0.66973,0.36503,0.34699,2015,,EUR,Europe,NOR,Male,13.93,12.93,15.03,13.93 [12.93 – 15.03],10.26013351134849,7.48,11.194969511733015
Norway,1373.33,4,7.522,1.459,0.88521,0.66973,0.36503,0.34699,2015,,EUR,Europe,NOR,Female,7.14,6.55,7.81,7.14 [6.55 – 7.81],10.26013351134849,7.48,11.194969511733015
Canada,2028.04,5,7.427,1.32629,0.90563,0.63297,0.32957,0.45811,2015,,AMR,Americas,CAN,Male,16.42,14.29,18.68,16.42 [14.29 – 18.68],10.26013351134849,7.48,11.194969511733015
Canada,2028.04,5,7.427,1.32629,0.90563,0.63297,0.32957,0.45811,2015,,AMR,Americas,CAN,Both sexes,11.16,9.63,12.76,11.16 [9.63 – 12.76],10.26013351134849,7.48,11.194969511733015
Canada,2028.04,5,7.427,1.32629,0.90563,0.63297,0.32957,0.45811,2015,,AMR,Americas,CAN,Female,5.98,5.05,6.95,5.98 [5.05 – 6.95],10.26013351134849,7.48,11.194969511733015
Finland,1858.0,6,7.406,1.29025,0.88911,0.64169,0.41372,0.23351,2015,,EUR,Europe,FIN,Male,18.91,16.31,21.76,18.91 [16.31 – 21.76],10.26013351134849,7.48,11.194969511733015
Finland,1858.0,6,7.406,1.29025,0.88911,0.64169,0.41372,0.23351,2015,,EUR,Europe,FIN,Both sexes,12.15,10.39,14.06,12.15 [10.39 – 14.06],10.26013351134849,7.48,11.194969511733015
Finland,1858.0,6,7.406,1.29025,0.88911,0.64169,0.41372,0.23351,2015,,EUR,Europe,FIN,Female,5.38,4.46,6.36,5.38 [4.46 – 6.36],10.26013351134849,7.48,11.194969511733015
Netherlands,1662.0,7,7.378,1.32944,0.89284,0.61576,0.31814,0.4761,2015,,EUR,Europe,NLD,Male,12.66,11.08,14.33,12.66 [11.08 – 14.33],10.26013351134849,7.48,11.194969511733015
Netherlands,1662.0,7,7.378,1.32944,0.89284,0.61576,0.31814,0.4761,2015,,EUR,Europe,NLD,Female,6.0,5.07,7.01,6 [5.07 – 7.01],10.26013351134849,7.48,11.194969511733015
Netherlands,1662.0,7,7.378,1.32944,0.89284,0.61576,0.31814,0.4761,2015,,EUR,Europe,NLD,Both sexes,9.31,8.06,10.65,9.31 [8.06 – 10.65],10.26013351134849,7.48,11.194969511733015
Sweden,1782.5,8,7.364,1.33171,0.91087,0.6598,0.43844,0.36262,2015,,EUR,Europe,SWE,Male,18.26,16.26,20.39,18.26 [16.26 – 20.39],10.26013351134849,7.48,11.194969511733015
Sweden,1782.5,8,7.364,1.33171,0.91087,0.6598,0.43844,0.36262,2015,,EUR,Europe,SWE,Both sexes,13.02,11.52,14.61,13.02 [11.52 – 14.61],10.26013351134849,7.48,11.194969511733015
Sweden,1782.5,8,7.364,1.33171,0.91087,0.6598,0.43844,0.36262,2015,,EUR,Europe,SWE,Female,7.76,6.75,8.8,7.76 [6.75 – 8.8],10.26013351134849,7.48,11.194969511733015
New Zealand,1953.92,9,7.286,1.25018,0.90837,0.63938,0.42922,0.47501,2015,,WPR,Western Pacific,NZL,Male,16.37,14.33,18.62,16.37 [14.33 – 18.62],10.26013351134849,7.48,11.194969511733015
